District,Date,Primary Type,Arrest,Crime Weightage,Label
11,5/3/16 21:00,NARCOTICS,True,3,1
8,5/3/16 21:35,THEFT,False,1,1
9,5/3/16 14:45,ASSAULT,False,3,1
8,5/3/16 18:42,BATTERY,False,2,1
9,5/3/16 19:30,CRIMINAL DAMAGE,False,3,1
11,5/3/16 13:30,OTHER OFFENSE,False,2,0
1,5/3/16 19:30,THEFT,False,1,1
1,5/3/16 9:11,DECEPTIVE PRACTICE,False,1,0
1,5/3/16 6:30,THEFT,False,1,1
16,5/3/16 18:30,THEFT,False,1,0
5,5/3/16 17:40,ASSAULT,False,3,0
4,5/3/16 10:00,CRIMINAL DAMAGE,False,3,1
10,5/3/16 13:00,DECEPTIVE PRACTICE,False,1,0
16,5/3/16 20:30,MOTOR VEHICLE THEFT,False,2,0
2,5/3/16 16:07,PUBLIC PEACE VIOLATION,False,3,0
6,5/3/16 14:00,THEFT,False,1,0
6,5/3/16 15:05,BATTERY,False,2,1
6,5/3/16 9:00,THEFT,False,1,0
10,5/3/16 0:30,THEFT,False,1,0
20,5/3/16 21:35,ASSAULT,False,3,0
7,5/3/16 12:15,THEFT,False,1,0
25,5/3/16 20:30,ROBBERY,False,1,0
16,5/3/16 9:00,BATTERY,False,2,0
3,5/3/16 12:15,BATTERY,False,2,1
16,5/3/16 20:00,THEFT,False,1,0
24,5/3/16 22:00,MOTOR VEHICLE THEFT,False,2,0
3,5/4/16 11:30,CRIMINAL TRESPASS,True,2,0
20,5/3/16 19:15,OTHER OFFENSE,False,2,0
18,5/4/16 9:00,THEFT,False,1,1
10,5/3/16 16:00,BURGLARY,False,2,0
8,5/4/16 8:16,STALKING,False,1,0
2,5/3/16 9:00,BATTERY,False,2,1
11,5/4/16 5:00,THEFT,False,1,0
22,5/3/16 18:00,DECEPTIVE PRACTICE,False,1,0
11,5/4/16 11:58,ASSAULT,True,2,1
3,5/4/16 12:35,THEFT,False,1,0
25,5/3/16 19:15,PUBLIC PEACE VIOLATION,False,3,0
4,5/3/16 22:30,BURGLARY,False,2,0
8,5/3/16 20:40,OTHER OFFENSE,False,2,0
8,5/3/16 18:30,THEFT,False,1,1
16,5/3/16 22:00,THEFT,False,1,0
16,5/3/16 22:30,BURGLARY,False,2,0
19,5/3/16 16:35,DECEPTIVE PRACTICE,True,0,0
19,5/3/16 14:25,THEFT,False,1,1
8,5/3/16 18:10,THEFT,False,1,1
1,5/3/16 14:00,THEFT,False,1,1
4,5/3/16 18:00,CRIMINAL DAMAGE,False,3,1
6,5/3/16 18:00,BATTERY,False,2,1
9,5/3/16 21:00,THEFT,False,1,0
9,5/3/16 12:00,DECEPTIVE PRACTICE,False,1,0
4,5/3/16 22:22,CRIMINAL DAMAGE,False,3,1
24,5/3/16 17:00,THEFT,False,1,0
22,5/4/16 12:46,CRIMINAL DAMAGE,False,3,0
17,5/3/16 11:00,DECEPTIVE PRACTICE,False,1,0
15,5/3/16 21:00,BATTERY,False,2,1
25,5/3/16 22:54,CRIMINAL TRESPASS,True,2,0
18,5/3/16 10:00,THEFT,False,1,1
10,5/3/16 22:30,ROBBERY,False,1,0
12,5/3/16 23:30,MOTOR VEHICLE THEFT,False,2,0
19,5/3/16 2:05,THEFT,False,1,1
6,5/3/16 16:30,CRIMINAL DAMAGE,False,3,1
19,5/3/16 19:00,THEFT,False,1,1
14,5/3/16 20:00,THEFT,False,1,1
3,5/3/16 16:30,THEFT,False,1,0
